fb_str;city;postcode;Number_of_students;faculty_plz
Fakultät für Biologie;Nördlingen;86720;3;97074
Fakultät für Biologie;Nürnberg;Undefined;7;97074
Fakultät für Biologie;Ochsenfurt;97199;3;97074
Fakultät für Biologie;Petersberg;36100;4;97074
Fakultät für Biologie;Randersacker;97236;3;97074
Fakultät für Biologie;Reichenberg;97234;5;97074
Fakultät für Biologie;Rimpar;97222;4;97074
Fakultät für Biologie;Rottendorf;97228;8;97074
Fakultät für Biologie;Röthlein;97520;3;97074
Fakultät für Biologie;Schweinfurt;97422;5;97074
Fakultät für Biologie;Schweinfurt;Undefined;4;97074
Fakultät für Biologie;Undefined;Undefined;609;97074
Fakultät für Biologie;Veitshöchheim;97209;9;97074
Fakultät für Biologie;Volkach;97332;4;97074
Fakultät für Biologie;Walldürn;74731;4;97074
Fakultät für Biologie;Weikersheim;97990;3;97074
Fakultät für Biologie;Werneck;97440;4;97074
Fakultät für Biologie;Wertheim;97877;4;97074
Fakultät für Biologie;Wiesbaden;Undefined;5;97074
Fakultät für Biologie;Winterhausen;97286;3;97074
Fakultät für Biologie;Würzburg;97070;58;97074
Fakultät für Biologie;Würzburg;97072;77;97074
Fakultät für Biologie;Würzburg;97074;115;97074
Fakultät für Biologie;Würzburg;97076;17;97074
Fakultät für Biologie;Würzburg;97078;17;97074
Fakultät für Biologie;Würzburg;97080;45;97074
Fakultät für Biologie;Würzburg;97082;31;97074
Fakultät für Biologie;Würzburg;97084;18;97074
Fakultät für Chemie und Pharmazie;Abtsgmünd;73453;3;97074
Fakultät für Chemie und Pharmazie;Alzenau;63755;7;97074
Fakultät für Chemie und Pharmazie;Ansbach;91522;3;97074
Fakultät für Chemie und Pharmazie;Arnstein;97450;3;97074
Fakultät für Chemie und Pharmazie;Aschaffenburg;63739;4;97074
Fakultät für Chemie und Pharmazie;Aschaffenburg;63741;5;97074
Fakultät für Chemie und Pharmazie;Aschaffenburg;63743;5;97074
Fakultät für Chemie und Pharmazie;Augsburg;Undefined;7;97074
Fakultät für Chemie und Pharmazie;Bad Homburg;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Bad Kissingen;97688;9;97074
Fakultät für Chemie und Pharmazie;Bad Mergentheim;97980;6;97074
Fakultät für Chemie und Pharmazie;Bamberg;96049;4;97074
Fakultät für Chemie und Pharmazie;Bamberg;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Bergtheim;97241;4;97074
Fakultät für Chemie und Pharmazie;Berlin;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Burgsinn;97775;3;97074
Fakultät für Chemie und Pharmazie;Bürgstadt;63927;3;97074
Fakultät für Chemie und Pharmazie;Dettelbach;97337;4;97074
Fakultät für Chemie und Pharmazie;Dittelbrunn;97456;3;97074
Fakultät für Chemie und Pharmazie;Erlangen;91056;3;97074
Fakultät für Chemie und Pharmazie;Erlenbach am Main;63906;3;97074
Fakultät für Chemie und Pharmazie;Estenfeld;97230;5;97074
Fakultät für Chemie und Pharmazie;Frankfurt am Main;Undefined;6;97074
Fakultät für Chemie und Pharmazie;Freudenberg;97896;5;97074
Fakultät für Chemie und Pharmazie;Fulda;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Fürth;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Gerbrunn;97218;60;97074
Fakultät für Chemie und Pharmazie;Gerolzhofen;97447;7;97074
Fakultät für Chemie und Pharmazie;Grettstadt;97508;3;97074
Fakultät für Chemie und Pharmazie;Großrinderfeld;97950;5;97074
Fakultät für Chemie und Pharmazie;Göttingen;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Hamburg;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Hannover;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Hardheim;74736;3;97074
Fakultät für Chemie und Pharmazie;Haßfurt;97437;6;97074
Fakultät für Chemie und Pharmazie;Heidelberg;Undefined;5;97074
Fakultät für Chemie und Pharmazie;Hettstadt;97265;4;97074
Fakultät für Chemie und Pharmazie;Hofheim;Undefined;3;97074
Fakultät für Chemie und Pharmazie;Hohenroth;97618;3;97074
Fakultät für Chemie und Pharmazie;Höchberg;97204;5;97074
Fakultät für Chemie und Pharmazie;Hünfeld;36088;3;97074
Fakultät für Chemie und Pharmazie;Ingolstadt;Undefined;4;97074
Fakultät für Chemie und Pharmazie;Karlstadt;97753;8;97074
Fakultät für Chemie und Pharmazie;Karsbach;97783;3;97074
Fakultät für Chemie und Pharmazie;Kitzingen;97318;19;97074
Fakultät für Chemie und Pharmazie;Knetzgau;97478;3;97074
Fakultät für Chemie und Pharmazie;Krumbach;86381;3;97074
Fakultät für Chemie und Pharmazie;Künzell;36093;5;97074
Fakultät für Chemie und Pharmazie;Kürnach;97273;5;97074
Fakultät für Chemie und Pharmazie;Lauda-Königshofen;97922;9;97074
Fakultät für Chemie und Pharmazie;Laufach;63846;3;97074
