fb_str;city;postcode;Number_of_students;faculty_plz
Fakultät für Humanwissenschaften;Nürnberg;Undefined;17;97074
Fakultät für Humanwissenschaften;Obernbreit;97342;6;97074
Fakultät für Humanwissenschaften;Obernburg;63785;3;97074
Fakultät für Humanwissenschaften;Obersulm;74182;4;97074
Fakultät für Humanwissenschaften;Oberthulba;97723;4;97074
Fakultät für Humanwissenschaften;Oberursel;61440;4;97074
Fakultät für Humanwissenschaften;Ochsenfurt;97199;17;97074
Fakultät für Humanwissenschaften;Oerlenbach;97714;3;97074
Fakultät für Humanwissenschaften;Oettingen;86732;3;97074
Fakultät für Humanwissenschaften;Oldenburg;Undefined;3;97074
Fakultät für Humanwissenschaften;Osterburken;74706;5;97074
Fakultät für Humanwissenschaften;Ostfildern;73760;3;97074
Fakultät für Humanwissenschaften;Partenstein;97846;5;97074
Fakultät für Humanwissenschaften;Passau;94034;4;97074
Fakultät für Humanwissenschaften;Pecs;Undefined;3;97074
Fakultät für Humanwissenschaften;Pegnitz;91257;5;97074
Fakultät für Humanwissenschaften;Petersberg;36100;6;97074
Fakultät für Humanwissenschaften;Pforzheim;75181;3;97074
Fakultät für Humanwissenschaften;Poppenhausen;36163;3;97074
Fakultät für Humanwissenschaften;Poppenhausen;97490;3;97074
Fakultät für Humanwissenschaften;Pulheim;50259;3;97074
Fakultät für Humanwissenschaften;Rain;Undefined;3;97074
Fakultät für Humanwissenschaften;Randersacker;97236;11;97074
Fakultät für Humanwissenschaften;Regensburg;93049;6;97074
Fakultät für Humanwissenschaften;Regensburg;93053;5;97074
Fakultät für Humanwissenschaften;Regensburg;93057;3;97074
Fakultät für Humanwissenschaften;Regensburg;93059;3;97074
Fakultät für Humanwissenschaften;Regensburg;Undefined;6;97074
Fakultät für Humanwissenschaften;Reichenberg;97234;14;97074
Fakultät für Humanwissenschaften;Remlingen;97280;5;97074
Fakultät für Humanwissenschaften;Reutlingen;Undefined;3;97074
Fakultät für Humanwissenschaften;Rieneck;97794;5;97074
Fakultät für Humanwissenschaften;Rimpar;97222;23;97074
Fakultät für Humanwissenschaften;Rosenheim;Undefined;3;97074
Fakultät für Humanwissenschaften;Roth;91154;6;97074
Fakultät für Humanwissenschaften;Rothenburg ob der Tauber;91541;5;97074
Fakultät für Humanwissenschaften;Rottendorf;97228;19;97074
Fakultät für Humanwissenschaften;Roßtal;90574;4;97074
Fakultät für Humanwissenschaften;Röthlein;97520;4;97074
Fakultät für Humanwissenschaften;Salz;97616;4;97074
Fakultät für Humanwissenschaften;Satteldorf;74589;3;97074
Fakultät für Humanwissenschaften;Schlüchtern;36381;3;97074
Fakultät für Humanwissenschaften;Schlüsselfeld;96132;4;97074
Fakultät für Humanwissenschaften;Schorndorf;Undefined;3;97074
Fakultät für Humanwissenschaften;Schrozberg;74575;5;97074
Fakultät für Humanwissenschaften;Schwabach;91126;7;97074
Fakultät für Humanwissenschaften;Schwabmünchen;86830;4;97074
Fakultät für Humanwissenschaften;Schwaig;90571;3;97074
Fakultät für Humanwissenschaften;Schwanfeld;97523;4;97074
Fakultät für Humanwissenschaften;Schwarzenbruck;90592;3;97074
Fakultät für Humanwissenschaften;Schwebheim;97525;5;97074
Fakultät für Humanwissenschaften;Schweinfurt;97421;16;97074
Fakultät für Humanwissenschaften;Schweinfurt;97422;19;97074
Fakultät für Humanwissenschaften;Schweinfurt;97424;6;97074
Fakultät für Humanwissenschaften;Schwäbisch Gmünd;73527;4;97074
Fakultät für Humanwissenschaften;Schwäbisch Gmünd;Undefined;3;97074
Fakultät für Humanwissenschaften;Schwäbisch Hall;74523;4;97074
Fakultät für Humanwissenschaften;Segnitz;97340;3;97074
Fakultät für Humanwissenschaften;Senden;89250;3;97074
Fakultät für Humanwissenschaften;Sennfeld;97526;5;97074
Fakultät für Humanwissenschaften;Sinsheim;74889;3;97074
Fakultät für Humanwissenschaften;Sommerhausen;97286;6;97074
Fakultät für Humanwissenschaften;Sonthofen;87527;4;97074
Fakultät für Humanwissenschaften;Stadtbergen;86391;4;97074
Fakultät für Humanwissenschaften;Stadtlauringen;97488;4;97074
Fakultät für Humanwissenschaften;Stammheim;97509;3;97074
Fakultät für Humanwissenschaften;Stegaurach;96135;4;97074
Fakultät für Humanwissenschaften;Steinfeld;97854;3;97074
Fakultät für Humanwissenschaften;Stockheim;96342;5;97074
Fakultät für Humanwissenschaften;Straubing;94315;6;97074
Fakultät für Humanwissenschaften;Stuttgart;70184;3;97074
Fakultät für Humanwissenschaften;Stuttgart;70599;3;97074
Fakultät für Humanwissenschaften;Stuttgart;Undefined;19;97074
Fakultät für Humanwissenschaften;Sulzbach;63834;3;97074
Fakultät für Humanwissenschaften;Sulzbach am Main;63834;3;97074
Fakultät für Humanwissenschaften;Sulzthal;97717;3;97074
Fakultät für Humanwissenschaften;Talheim;74388;3;97074
Fakultät für Humanwissenschaften;Tauberbischofsheim;97941;20;97074
Fakultät für Humanwissenschaften;Theilheim;97288;3;97074
Fakultät für Humanwissenschaften;Thüngersheim;97291;7;97074
Fakultät für Humanwissenschaften;Triefenstein;97855;3;97074
Fakultät für Humanwissenschaften;Tübingen;72070;4;97074
Fakultät für Humanwissenschaften;Tübingen;72072;3;97074
Fakultät für Humanwissenschaften;Uettingen;97292;5;97074
Fakultät für Humanwissenschaften;Uffenheim;97215;7;97074
Fakultät für Humanwissenschaften;Ulm;89075;3;97074
Fakultät für Humanwissenschaften;Ulm;Undefined;6;97074
Fakultät für Humanwissenschaften;Undefined;Undefined;1724;97074
Fakultät für Humanwissenschaften;Unterpleichfeld;97294;7;97074
Fakultät für Humanwissenschaften;Urspringen;97857;3;97074
Fakultät für Humanwissenschaften;Veitsbronn;90587;3;97074
Fakultät für Humanwissenschaften;Veitshöchheim;97209;32;97074
Fakultät für Humanwissenschaften;Volkach;97332;18;97074
Fakultät für Humanwissenschaften;Waiblingen;Undefined;3;97074
Fakultät für Humanwissenschaften;Waigolshausen;97534;8;97074
Fakultät für Humanwissenschaften;Waldbrunn;97295;5;97074
Fakultät für Humanwissenschaften;Waldbüttelbrunn;97297;9;97074
Fakultät für Humanwissenschaften;Walldürn;74731;7;97074
Fakultät für Humanwissenschaften;Walsdorf;96194;4;97074
Fakultät für Humanwissenschaften;Wargolshausen;97618;3;97074
Fakultät für Humanwissenschaften;Weiden;92637;5;97074
Fakultät für Humanwissenschaften;Weidenbach;91746;3;97074
Fakultät für Humanwissenschaften;Weikersheim;97990;4;97074
Fakultät für Humanwissenschaften;Weißenburg;91781;5;97074
Fakultät für Humanwissenschaften;Wemding;86650;3;97074
Fakultät für Humanwissenschaften;Werbach;97956;4;97074
Fakultät für Humanwissenschaften;Werneck;97440;8;97074
Fakultät für Humanwissenschaften;Wertheim;97877;27;97074
Fakultät für Humanwissenschaften;Westhausen;73463;5;97074
Fakultät für Humanwissenschaften;Wettringen;91631;3;97074
Fakultät für Humanwissenschaften;Wiesbaden;Undefined;9;97074
Fakultät für Humanwissenschaften;Wiesenbronn;97355;3;97074
Fakultät für Humanwissenschaften;Wiesentheid;97353;8;97074
Fakultät für Humanwissenschaften;Willanzheim;97348;3;97074
Fakultät für Humanwissenschaften;Winterhausen;97286;3;97074
Fakultät für Humanwissenschaften;Wuppertal;Undefined;3;97074
Fakultät für Humanwissenschaften;Würzburg;97070;338;97074
Fakultät für Humanwissenschaften;Würzburg;97072;410;97074
Fakultät für Humanwissenschaften;Würzburg;97074;350;97074
Fakultät für Humanwissenschaften;Würzburg;97076;63;97074
Fakultät für Humanwissenschaften;Würzburg;97078;66;97074
Fakultät für Humanwissenschaften;Würzburg;97080;214;97074
Fakultät für Humanwissenschaften;Würzburg;97082;214;97074
Fakultät für Humanwissenschaften;Würzburg;97084;82;97074
Fakultät für Humanwissenschaften;Zell a. Main;97299;5;97074
Fakultät für Humanwissenschaften;Zell am Main;97299;16;97074
Fakultät für Humanwissenschaften;Zellingen;97225;14;97074
Fakultät für Humanwissenschaften;Zirndorf;90513;3;97074
Fakultät für Humanwissenschaften;Öhringen;74613;4;97074
Fakultät für Mathematik und Informatik;Altertheim;97237;3;97074
Fakultät für Mathematik und Informatik;Alzenau;63755;6;97074
Fakultät für Mathematik und Informatik;Ansbach;91522;16;97074
Fakultät für Mathematik und Informatik;Arnstein;97450;7;97074
Fakultät für Mathematik und Informatik;Aschaffenburg;63739;5;97074
Fakultät für Mathematik und Informatik;Aschaffenburg;63741;8;97074
Fakultät für Mathematik und Informatik;Aschaffenburg;63743;8;97074
Fakultät für Mathematik und Informatik;Augsburg;Undefined;4;97074
Fakultät für Mathematik und Informatik;Bad Bocklet;97708;4;97074
Fakultät für Mathematik und Informatik;Bad Kissingen;97688;9;97074
Fakultät für Mathematik und Informatik;Bad Königshofen;97631;3;97074
Fakultät für Mathematik und Informatik;Bad Mergentheim;97980;9;97074
Fakultät für Mathematik und Informatik;Bad Neustadt;97616;3;97074
Fakultät für Mathematik und Informatik;Bad Windsheim;91438;4;97074
Fakultät für Mathematik und Informatik;Bamberg;96052;3;97074
Fakultät für Mathematik und Informatik;Bamberg;Undefined;4;97074
Fakultät für Mathematik und Informatik;Bayreuth;Undefined;3;97074
Fakultät für Mathematik und Informatik;Bergrheinfeld;97493;5;97074
Fakultät für Mathematik und Informatik;Berlin;Undefined;5;97074
Fakultät für Mathematik und Informatik;Boxberg;97944;3;97074
Fakultät für Mathematik und Informatik;Buchen;74722;4;97074
Fakultät für Mathematik und Informatik;Coburg;96450;4;97074
Fakultät für Mathematik und Informatik;Creglingen;97993;4;97074
Fakultät für Mathematik und Informatik;Dettelbach;97337;8;97074
Fakultät für Mathematik und Informatik;Dinkelsbühl;91550;4;97074
Fakultät für Mathematik und Informatik;Eibelstadt;97246;3;97074
Fakultät für Mathematik und Informatik;Eisingen;97249;11;97074
Fakultät für Mathematik und Informatik;Elfershausen;97725;4;97074
Fakultät für Mathematik und Informatik;Erfurt;Undefined;3;97074
Fakultät für Mathematik und Informatik;Erlangen;Undefined;3;97074
Fakultät für Mathematik und Informatik;Estenfeld;97230;7;97074
Fakultät für Mathematik und Informatik;Feuchtwangen;91555;3;97074
Fakultät für Mathematik und Informatik;Frammersbach;97833;5;97074
Fakultät für Mathematik und Informatik;Frankfurt am Main;Undefined;3;97074
Fakultät für Mathematik und Informatik;Fulda;36041;5;97074
Fakultät für Mathematik und Informatik;Fürth;Undefined;4;97074
Fakultät für Mathematik und Informatik;Gemünden;97737;4;97074
Fakultät für Mathematik und Informatik;Gerbrunn;97218;56;97074
Fakultät für Mathematik und Informatik;Gerolzhofen;97447;6;97074
Fakultät für Mathematik und Informatik;Giebelstadt;97232;6;97074
Fakultät für Mathematik und Informatik;Goldbach;63773;4;97074
Fakultät für Mathematik und Informatik;Grafenrheinfeld;97506;3;97074
Fakultät für Mathematik und Informatik;Großheubach;63920;3;97074
Fakultät für Mathematik und Informatik;Großostheim;63762;3;97074
Fakultät für Mathematik und Informatik;Großrinderfeld;97950;7;97074
Fakultät für Mathematik und Informatik;Gunzenhausen;91710;3;97074
Fakultät für Mathematik und Informatik;Güntersleben;97261;7;97074
Fakultät für Mathematik und Informatik;Hamburg;Undefined;6;97074
Fakultät für Mathematik und Informatik;Hammelburg;97762;3;97074
Fakultät für Mathematik und Informatik;Hannover;Undefined;3;97074
Fakultät für Mathematik und Informatik;Hardheim;74736;3;97074
Fakultät für Mathematik und Informatik;Hausen;Undefined;3;97074
Fakultät für Mathematik und Informatik;Haßfurt;97437;6;97074
Fakultät für Mathematik und Informatik;Hettstadt;97265;5;97074
Fakultät für Mathematik und Informatik;Himmelstadt;97267;4;97074
Fakultät für Mathematik und Informatik;Hof;Undefined;3;97074
Fakultät für Mathematik und Informatik;Höchberg;97204;20;97074
Fakultät für Mathematik und Informatik;Hösbach;63768;6;97074
Fakultät für Mathematik und Informatik;Igersheim;97999;3;97074
Fakultät für Mathematik und Informatik;Iphofen;97346;5;97074
Fakultät für Mathematik und Informatik;Karlstadt;97753;15;97074
Fakultät für Mathematik und Informatik;Kempten;87435;3;97074
Fakultät für Mathematik und Informatik;Kist;97270;3;97074
Fakultät für Mathematik und Informatik;Kitzingen;97318;16;97074
Fakultät für Mathematik und Informatik;Kleinwallstadt;63839;3;97074
Fakultät für Mathematik und Informatik;Kreßberg;74594;3;97074
Fakultät für Mathematik und Informatik;Kürnach;97273;7;97074
Fakultät für Mathematik und Informatik;Lauda-Königshofen;97922;7;97074
Fakultät für Mathematik und Informatik;Laufach;63846;5;97074
Fakultät für Mathematik und Informatik;Lohr am Main;97816;8;97074
Fakultät für Mathematik und Informatik;Mainbernheim;97350;5;97074
Fakultät für Mathematik und Informatik;Margetshöchheim;97276;9;97074
Fakultät für Mathematik und Informatik;Marktbreit;97340;4;97074
Fakultät für Mathematik und Informatik;Marktheidenfeld;97828;14;97074
Fakultät für Mathematik und Informatik;Miltenberg;63897;3;97074
Fakultät für Mathematik und Informatik;Mömbris;63776;5;97074
Fakultät für Mathematik und Informatik;München;Undefined;10;97074
Fakultät für Mathematik und Informatik;Neubrunn;97277;3;97074
Fakultät für Mathematik und Informatik;Neuendorf;97788;3;97074
Fakultät für Mathematik und Informatik;Niederstetten;97996;3;97074
Fakultät für Mathematik und Informatik;Niederwerrn;97464;6;97074
Fakultät für Mathematik und Informatik;Nördlingen;86720;3;97074
Fakultät für Mathematik und Informatik;Nürnberg;Undefined;5;97074
Fakultät für Mathematik und Informatik;Oberthulba;97723;4;97074
Fakultät für Mathematik und Informatik;Ochsenfurt;97199;12;97074
Fakultät für Mathematik und Informatik;Oerlenbach;97714;3;97074
Fakultät für Mathematik und Informatik;Prichsenstadt;97357;3;97074
Fakultät für Mathematik und Informatik;Prosselsheim;97279;4;97074
Fakultät für Mathematik und Informatik;Randersacker;97236;4;97074
Fakultät für Mathematik und Informatik;Reichenberg;97234;6;97074
Fakultät für Mathematik und Informatik;Retzstadt;97282;5;97074
Fakultät für Mathematik und Informatik;Rimpar;97222;10;97074
Fakultät für Mathematik und Informatik;Rottendorf;97228;14;97074
Fakultät für Mathematik und Informatik;Rödelsee;97348;4;97074
Fakultät für Mathematik und Informatik;Salz;97616;3;97074
Fakultät für Mathematik und Informatik;Schonungen;97453;3;97074
Fakultät für Mathematik und Informatik;Schwarzach am Main;97359;5;97074
Fakultät für Mathematik und Informatik;Schwebheim;97525;4;97074
Fakultät für Mathematik und Informatik;Schweinfurt;97421;8;97074
Fakultät für Mathematik und Informatik;Schweinfurt;97422;13;97074
Fakultät für Mathematik und Informatik;Sennfeld;97526;3;97074
Fakultät für Mathematik und Informatik;Stuttgart;Undefined;3;97074
Fakultät für Mathematik und Informatik;Tauberbischofsheim;97941;4;97074
Fakultät für Mathematik und Informatik;Theilheim;97288;5;97074
Fakultät für Mathematik und Informatik;Thüngersheim;97291;3;97074
Fakultät für Mathematik und Informatik;Triefenstein;97855;6;97074
Fakultät für Mathematik und Informatik;Uettingen;97292;5;97074
Fakultät für Mathematik und Informatik;Uffenheim;97215;7;97074
Fakultät für Mathematik und Informatik;Undefined;Undefined;753;97074
Fakultät für Mathematik und Informatik;Veitshöchheim;97209;11;97074
Fakultät für Mathematik und Informatik;Volkach;97332;4;97074
Fakultät für Mathematik und Informatik;Waldaschaff;63857;7;97074
Fakultät für Mathematik und Informatik;Waldbrunn;97295;4;97074
Fakultät für Mathematik und Informatik;Waldbüttelbrunn;97297;9;97074
Fakultät für Mathematik und Informatik;Weißenhorn;89264;3;97074
Fakultät für Mathematik und Informatik;Werneck;97440;6;97074
Fakultät für Mathematik und Informatik;Wertheim;97877;9;97074
Fakultät für Mathematik und Informatik;Würzburg;97070;92;97074
Fakultät für Mathematik und Informatik;Würzburg;97072;119;97074
Fakultät für Mathematik und Informatik;Würzburg;97074;170;97074
Fakultät für Mathematik und Informatik;Würzburg;97076;35;97074
Fakultät für Mathematik und Informatik;Würzburg;97078;29;97074
Fakultät für Mathematik und Informatik;Würzburg;97080;86;97074
Fakultät für Mathematik und Informatik;Würzburg;97082;44;97074
Fakultät für Mathematik und Informatik;Würzburg;97084;51;97074
Fakultät für Mathematik und Informatik;Zell am Main;97299;6;97074
Fakultät für Mathematik und Informatik;Zellingen;97225;6;97074
Fakultät für Mathematik und Informatik;Üchtelhausen;97532;3;97074
Fakultät für Physik und Astronomie;Aschaffenburg;Undefined;3;97074
Fakultät für Physik und Astronomie;Bergrheinfeld;97493;3;97074
Fakultät für Physik und Astronomie;Coburg;96450;3;97074
Fakultät für Physik und Astronomie;Forchheim;91301;3;97074
Fakultät für Physik und Astronomie;Gerbrunn;97218;27;97074
Fakultät für Physik und Astronomie;Haßfurt;97437;4;97074
Fakultät für Physik und Astronomie;Höchberg;97204;7;97074
Fakultät für Physik und Astronomie;Kitzingen;97318;4;97074
Fakultät für Physik und Astronomie;Marktheidenfeld;97828;3;97074
Fakultät für Physik und Astronomie;München;Undefined;3;97074
Fakultät für Physik und Astronomie;Rimpar;97222;3;97074
Fakultät für Physik und Astronomie;Rottendorf;97228;3;97074
Fakultät für Physik und Astronomie;Röthlein;97520;3;97074
Fakultät für Physik und Astronomie;Undefined;Undefined;218;97074
Fakultät für Physik und Astronomie;Veitshöchheim;97209;3;97074
Fakultät für Physik und Astronomie;Würzburg;97070;25;97074
Fakultät für Physik und Astronomie;Würzburg;97072;21;97074
Fakultät für Physik und Astronomie;Würzburg;97074;46;97074
Fakultät für Physik und Astronomie;Würzburg;97076;13;97074
Fakultät für Physik und Astronomie;Würzburg;97078;8;97074
Fakultät für Physik und Astronomie;Würzburg;97080;20;97074
Fakultät für Physik und Astronomie;Würzburg;97082;11;97074
Fakultät für Physik und Astronomie;Würzburg;97084;11;97074
Fakultät für Physik und Astronomie;Zellingen;97225;3;97074
Juristische Fakultät;Aalen;73431;3;97070
Juristische Fakultät;Aalen;73434;3;97070
Juristische Fakultät;Abstatt;74232;4;97070
Juristische Fakultät;Albertshofen;97320;3;97070
Juristische Fakultät;Alzenau;63755;5;97070
Juristische Fakultät;Ansbach;91522;13;97070
Juristische Fakultät;Arnstein;97450;6;97070
Juristische Fakultät;Aschaffenburg;63739;5;97070
Juristische Fakultät;Aschaffenburg;63741;6;97070
Juristische Fakultät;Aschaffenburg;63743;6;97070
Juristische Fakultät;Asperg;71679;4;97070
Juristische Fakultät;Bad Brückenau;97769;3;97070
Juristische Fakultät;Bad Kissingen;97688;8;97070
Juristische Fakultät;Bad Mergentheim;97980;12;97070
Juristische Fakultät;Bad Neustadt;97616;5;97070
Juristische Fakultät;Bad Windsheim;91438;3;97070
Juristische Fakultät;Bamberg;96049;3;97070
Juristische Fakultät;Bayreuth;Undefined;3;97070
Juristische Fakultät;Bergrheinfeld;97493;5;97070
Juristische Fakultät;Berlin;Undefined;7;97070
Juristische Fakultät;Bietigheim-Bissingen;74321;3;97070
Juristische Fakultät;Bischberg;96120;4;97070
Juristische Fakultät;Bonn;Undefined;3;97070
Juristische Fakultät;Buchen;74722;3;97070
Juristische Fakultät;Böblingen;Undefined;3;97070
Juristische Fakultät;Bürgstadt;63927;3;97070
Juristische Fakultät;Coburg;96450;4;97070
Juristische Fakultät;Dietenhofen;90599;3;97070
Juristische Fakultät;Dittelbrunn;97456;7;97070
Juristische Fakultät;Dresden;Undefined;3;97070
Juristische Fakultät;Düsseldorf;Undefined;8;97070
Juristische Fakultät;Eibelstadt;97246;3;97070
Juristische Fakultät;Eichenzell;36124;4;97070
Juristische Fakultät;Eisingen;97249;4;97070
Juristische Fakultät;Eppingen;75031;5;97070
Juristische Fakultät;Erfurt;Undefined;3;97070
Juristische Fakultät;Essen;Undefined;5;97070
Juristische Fakultät;Estenfeld;97230;8;97070
Juristische Fakultät;Flein;74223;3;97070
Juristische Fakultät;Frankfurt am Main;Undefined;9;97070
Juristische Fakultät;Freiburg im Breisgau;Undefined;3;97070
Juristische Fakultät;Fulda;36037;8;97070
Juristische Fakultät;Fulda;36039;4;97070
Juristische Fakultät;Fulda;36041;7;97070
Juristische Fakultät;Fulda;36043;3;97070
Juristische Fakultät;Gemmingen;75050;3;97070
Juristische Fakultät;Gemünden;97737;4;97070
Juristische Fakultät;Gemünden a. Main;97737;5;97070
Juristische Fakultät;Gemünden am Main;97737;5;97070
Juristische Fakultät;Gerbrunn;97218;18;97070
Juristische Fakultät;Geroldshausen;97256;3;97070
Juristische Fakultät;Giebelstadt;97232;4;97070
Juristische Fakultät;Großostheim;63762;4;97070
Juristische Fakultät;Großrinderfeld;97950;5;97070
Juristische Fakultät;Güntersleben;97261;5;97070
Juristische Fakultät;Hamburg;Undefined;5;97070
Juristische Fakultät;Hanau;Undefined;3;97070
Juristische Fakultät;Hardheim;74736;3;97070
Juristische Fakultät;Haßfurt;97437;4;97070
Juristische Fakultät;Heidelberg;Undefined;3;97070
Juristische Fakultät;Heilbronn;74076;4;97070
Juristische Fakultät;Heilbronn;74078;3;97070
Juristische Fakultät;Heilbronn;Undefined;6;97070
Juristische Fakultät;Hettstadt;97265;3;97070
Juristische Fakultät;Hofbieber;36145;3;97070
Juristische Fakultät;Holzkirchen;Undefined;3;97070
Juristische Fakultät;Höchberg;97204;12;97070
Juristische Fakultät;Iphofen;97346;3;97070
Juristische Fakultät;Johannesberg;63867;3;97070
Juristische Fakultät;Karlsruhe;Undefined;3;97070
Juristische Fakultät;Karlstadt;97753;8;97070
Juristische Fakultät;Kassel;Undefined;4;97070
Juristische Fakultät;Kist;97270;3;97070
Juristische Fakultät;Kitzingen;97318;18;97070
Juristische Fakultät;Kleinheubach;63924;6;97070
Juristische Fakultät;Kleinostheim;63801;6;97070
Juristische Fakultät;Kleinwallstadt;63839;3;97070
Juristische Fakultät;Köln;Undefined;4;97070
Juristische Fakultät;Künzell;36093;6;97070
Juristische Fakultät;Kürnach;97273;4;97070
Juristische Fakultät;Lauda-Königshofen;97922;6;97070
Juristische Fakultät;Lauterbach;36341;3;97070
Juristische Fakultät;Leimen;69181;3;97070
Juristische Fakultät;Leinach;97274;3;97070
Juristische Fakultät;Leingarten;74211;4;97070
Juristische Fakultät;Leonberg;71229;3;97070
Juristische Fakultät;Lohr am Main;97816;3;97070
Juristische Fakultät;Mainz;Undefined;3;97070
Juristische Fakultät;Margetshöchheim;97276;3;97070
Juristische Fakultät;Meiningen;98617;5;97070
Juristische Fakultät;Mellrichstadt;97638;3;97070
Juristische Fakultät;Miltenberg;63897;5;97070
Juristische Fakultät;Mosbach;74821;4;97070
Juristische Fakultät;München;Undefined;17;97070
Juristische Fakultät;Neckarsulm;74172;6;97070
Juristische Fakultät;Niederwerrn;97464;3;97070
Juristische Fakultät;Nürnberg;Undefined;7;97070
Juristische Fakultät;Oberstenfeld;71720;3;97070
Juristische Fakultät;Ochsenfurt;97199;7;97070
Juristische Fakultät;Oldenburg;Undefined;3;97070
Juristische Fakultät;Petersberg;36100;9;97070
Juristische Fakultät;Prichsenstadt;97357;6;97070
Juristische Fakultät;Randersacker;97236;4;97070
Juristische Fakultät;Regensburg;Undefined;3;97070
Juristische Fakultät;Reichenberg;97234;5;97070
Juristische Fakultät;Rimpar;97222;7;97070
Juristische Fakultät;Rottendorf;97228;10;97070
Juristische Fakultät;Röthlein;97520;4;97070
Juristische Fakultät;Schweinfurt;97421;6;97070
Juristische Fakultät;Schweinfurt;97422;15;97070
Juristische Fakultät;Schweinfurt;97424;6;97070
Juristische Fakultät;Soest;59494;3;97070
Juristische Fakultät;Stuttgart;70469;3;97070
Juristische Fakultät;Stuttgart;Undefined;14;97070
Juristische Fakultät;Suhl;Undefined;4;97070
Juristische Fakultät;Tauberbischofsheim;97941;9;97070
Juristische Fakultät;Undefined;Undefined;751;97070
Juristische Fakultät;Veitshöchheim;97209;15;97070
Juristische Fakultät;Volkach;97332;7;97070
Juristische Fakultät;Waldbüttelbrunn;97297;6;97070
Juristische Fakultät;Wartenberg;36367;4;97070
Juristische Fakultät;Weikersheim;97990;3;97070
Juristische Fakultät;Weinsberg;74189;4;97070
Juristische Fakultät;Wertheim;97877;16;97070
Juristische Fakultät;Wiesentheid;97353;6;97070
Juristische Fakultät;Würzburg;97070;138;97070
Juristische Fakultät;Würzburg;97072;142;97070
Juristische Fakultät;Würzburg;97074;119;97070
Juristische Fakultät;Würzburg;97076;29;97070
Juristische Fakultät;Würzburg;97078;22;97070
Juristische Fakultät;Würzburg;97080;62;97070
Juristische Fakultät;Würzburg;97082;72;97070
Juristische Fakultät;Würzburg;97084;34;97070
Juristische Fakultät;Zell am Main;97299;3;97070
Juristische Fakultät;Öhringen;74613;4;97070
Katholisch-Theologische Fakultät;Gerbrunn;97218;3;97070
Katholisch-Theologische Fakultät;Undefined;Undefined;101;97070
Katholisch-Theologische Fakultät;Würzburg;97070;14;97070
Katholisch-Theologische Fakultät;Würzburg;97072;9;97070
Katholisch-Theologische Fakultät;Würzburg;97074;15;97070
Katholisch-Theologische Fakultät;Würzburg;97076;3;97070
Katholisch-Theologische Fakultät;Würzburg;97080;3;97070
Katholisch-Theologische Fakultät;Würzburg;97082;8;97070
Katholisch-Theologische Fakultät;Würzburg;Undefined;3;97070
Medizinische Fakultät;Aachen;52066;3;97080
Medizinische Fakultät;Aachen;52074;3;97080
Medizinische Fakultät;Aalen;Undefined;5;97080
Medizinische Fakultät;Alzenau;63755;3;97080
Medizinische Fakultät;Andernach;56626;3;97080
Medizinische Fakultät;Ansbach;91522;3;97080
Medizinische Fakultät;Arnstein;97450;3;97080
Medizinische Fakultät;Aschaffenburg;63739;6;97080
Medizinische Fakultät;Aschaffenburg;63741;5;97080
Medizinische Fakultät;Aschaffenburg;63743;5;97080
Medizinische Fakultät;Augsburg;86156;4;97080
Medizinische Fakultät;Augsburg;Undefined;7;97080
Medizinische Fakultät;Bad Homburg;61352;3;97080
Medizinische Fakultät;Bad Kissingen;97688;8;97080
Medizinische Fakultät;Bad Mergentheim;97980;9;97080
Medizinische Fakultät;Bad Neustadt;97616;3;97080
Medizinische Fakultät;Bamberg;96049;6;97080
Medizinische Fakultät;Bamberg;96052;4;97080
Medizinische Fakultät;Bayreuth;95445;3;97080
Medizinische Fakultät;Bayreuth;Undefined;4;97080
Medizinische Fakultät;Bergtheim;97241;4;97080
Medizinische Fakultät;Berlin;10439;3;97080
Medizinische Fakultät;Berlin;Undefined;18;97080
Medizinische Fakultät;Bielefeld;Undefined;3;97080
Medizinische Fakultät;Bietigheim-Bissingen;74321;4;97080
Medizinische Fakultät;Bonn;Undefined;10;97080
Medizinische Fakultät;Bremen;Undefined;3;97080
Medizinische Fakultät;Buchen;74722;3;97080
Medizinische Fakultät;Chemnitz;Undefined;3;97080
Medizinische Fakultät;Coburg;96450;3;97080
Medizinische Fakultät;Crailsheim;74564;4;97080
Medizinische Fakultät;Darmstadt;Undefined;3;97080
Medizinische Fakultät;Deggendorf;94469;3;97080
Medizinische Fakultät;Dettelbach;97337;7;97080
Medizinische Fakultät;Dreieich;63303;3;97080
Medizinische Fakultät;Düsseldorf;40489;3;97080
Medizinische Fakultät;Düsseldorf;Undefined;3;97080
Medizinische Fakultät;Eibelstadt;97246;3;97080
Medizinische Fakultät;Ensdorf;92266;3;97080
Medizinische Fakultät;Erfurt;Undefined;4;97080
Medizinische Fakultät;Erlangen;91052;3;97080
Medizinische Fakultät;Erlangen;91054;4;97080
Medizinische Fakultät;Erlangen;91056;3;97080
Medizinische Fakultät;Essen;Undefined;7;97080
Medizinische Fakultät;Esslingen;Undefined;3;97080
Medizinische Fakultät;Estenfeld;97230;10;97080
Medizinische Fakultät;Feuchtwangen;91555;3;97080
Medizinische Fakultät;Frankfurt;Undefined;3;97080
Medizinische Fakultät;Frankfurt am Main;Undefined;13;97080
Medizinische Fakultät;Freiburg;Undefined;6;97080
Medizinische Fakultät;Fulda;36039;4;97080
Medizinische Fakultät;Fulda;36041;3;97080
